seller_type,bedroom,layout_type,property_type,locality,price,area,furnish_type,bathroom
OWNER,1,BHK,Independent Floor,Mundhwa,6750.00,450,Unfurnished,1
OWNER,2,BHK,Apartment,Wakad,18000.00,916,Unfurnished,2
OWNER,3,BHK,Apartment,Wagholi,16500.00,1085,Semi-Furnished,3
OWNER,1,RK,Studio Apartment,Kothrud,8000.00,250,Furnished,1
OWNER,2,BHK,Apartment,Yerawada,25000.00,1005,Semi-Furnished,2
OWNER,1,BHK,Apartment,Ganj Peth,11000.00,600,Semi-Furnished,1
OWNER,2,BHK,Apartment,Pimple Saudagar,17000.00,900,Semi-Furnished,2
OWNER,2,BHK,Apartment,Hinjewadi,13500.00,900,Furnished,3
OWNER,1,RK,Studio Apartment,Dhanori,3500.00,200,Furnished,1
OWNER,1,BHK,Apartment,Nigdi,12000.00,1000,Semi-Furnished,1
OWNER,2,BHK,Apartment,Hinjewadi,12000.00,850,Semi-Furnished,2
OWNER,1,BHK,Independent Floor,Bopkhel,6500.00,500,Unfurnished,1
OWNER,3,BHK,Independent Floor,Viman Nagar,20000.00,1210,Furnished,2
OWNER,1,BHK,Apartment,Dhayari,8000.00,500,Unfurnished,1
OWNER,2,BHK,Independent Floor,Pimple Nilakh,18000.00,950,Semi-Furnished,
OWNER,3,BHK,Apartment,Chakan,9500.00,1278,Semi-Furnished,2
OWNER,1,BHK,Independent Floor,Wagholi,6500.00,750,Unfurnished,1
OWNER,1,RK,Studio Apartment,Chinchwad,8000.00,315,Semi-Furnished,1
OWNER,2,BHK,Villa,Viman Nagar,45000.00,1200,Furnished,3
OWNER,3,BHK,Apartment,Kharadi,35000.00,1275,Furnished,3
OWNER,2,BHK,Apartment,Wakad,17000.00,1000,Unfurnished,2
OWNER,1,BHK,Apartment,Wagholi,7500.00,520,Semi-Furnished,1
OWNER,2,BHK,Apartment,Kalyani Nagar,30000.00,929,Unfurnished,2
OWNER,2,BHK,Apartment,Ravet,15000.00,660,Furnished,2
OWNER,1,BHK,Apartment,Wakad,14000.00,600,Unfurnished,1
OWNER,1,BHK,Independent House,Kharadi,9000.00,650,Unfurnished,1
OWNER,1,BHK,Apartment,Kothrud,13000.00,650,Semi-Furnished,1
OWNER,1,BHK,Independent House,Lohegaon,8000.00,650,Unfurnished,1
OWNER,1,RK,Studio Apartment,Mundhwa,4000.00,350,Unfurnished,1
OWNER,2,BHK,Apartment,Pimple Saudagar,24000.00,1080,Furnished,2
OWNER,1,RK,Studio Apartment,Parvati Darshan,12000.00,350,Semi-Furnished,1
OWNER,2,BHK,Apartment,Chikhali,9000.00,675,Semi-Furnished,1
OWNER,2,BHK,Apartment,Baner,17400.00,1100,Semi-Furnished,2
